,Unnamed: 0,File ID,Filter,x-pos,y-pos,Aperture Sum,Median Flux without bkg,Sum without bkg,Date and Time,Dif,Corrected Sum,Instrumental Magnitude,Phase,Residual,Residual Factor,Blue Apparent Magnitude,Red Apparent Magnitude,Green Apparent Magnitude,Luminance Apparent Magnitude
0,0,Sloan Data\RV Uma\2022_03_20\Blue\Reduced_RV_Uma_Light_Blue_32_secs_001.fits,Blue,305.8728108062544,527.9023358025217,5483.753901353054,0.0319971442222595,1626.3440184761523,2022-03-20 21:32:52,356.96899442801373,1983.3130129041665,-8.243478153452303,0.7549119219183922,356.96899442801396,0.21949168833448035,11.4625,,,
1,1,Sloan Data\RV Uma\2022_03_20\Blue\Reduced_RV_Uma_Light_Blue_32_secs_002.fits,Blue,305.956344822713,527.2413146437889,5649.434698435737,0.0371546745300293,1611.579127623641,2022-03-20 21:35:15,371.7338852805253,1983.3130129041665,-8.243478153452303,0.7584479907527566,371.7338852805253,0.23066437068384393,11.4625,,,
2,2,Sloan Data\RV Uma\2022_03_20\Blue\Reduced_RV_Uma_Light_Blue_32_secs_003.fits,Blue,306.6430747244121,526.2607079496893,5801.750471693747,0.026207685470581,1603.7973173586806,2022-03-20 21:37:38,379.5156955454856,1983.3130129041665,-8.243478153452303,0.7619840605184436,379.51569554548564,0.2366356966917217,11.4625,,,
3,3,Sloan Data\RV Uma\2022_03_20\Blue\Reduced_RV_Uma_Light_Blue_32_secs_004.fits,Blue,306.16158524066367,526.0055991324344,5970.594340103041,0.0426422357559204,1618.4369759196734,2022-03-20 21:39:57,364.8760369844929,1983.3130129041665,-8.243478153452303,0.765421218238771,364.8760369844929,0.22544964210123342,11.4625,,,
4,4,Sloan Data\RV Uma\2022_03_20\Blue\Reduced_RV_Uma_Light_Blue_32_secs_005.fits,Blue,310.62271550648006,535.9461761586979,6138.572272756878,0.0424007177352905,1619.6277541150594,2022-03-20 21:42:18,363.6852587891069,1983.3130129041665,-8.243478153452303,0.7689078319817781,363.6852587891069,0.22454867043681845,11.4625,,,
5,5,Sloan Data\RV Uma\2022_03_20\Blue\Reduced_RV_Uma_Light_Blue_32_secs_006.fits,Blue,310.4127283696481,535.1338955667513,6295.26689446606,0.0316412448883056,1626.254675686173,2022-03-20 21:44:34,357.0583372179933,1983.3130129041665,-8.243478153452303,0.7722708070650697,357.0583372179933,0.21955868447685667,11.4625,,,
6,6,Sloan Data\RV Uma\2022_03_20\Blue\Reduced_RV_Uma_Light_Blue_32_secs_007.fits,Blue,311.7033256220966,545.2988018958163,6470.6602426362815,0.0447461605072021,1637.0056243355948,2022-03-20 21:46:51,346.30738856857147,1983.3130129041665,-8.243478153452303,0.7756585106253624,346.30738856857147,0.21154929672836398,11.4625,,,
7,7,Sloan Data\RV Uma\2022_03_20\Blue\Reduced_RV_Uma_Light_Blue_32_secs_008.fits,Blue,312.1432904531803,546.9980120316486,6638.918011264017,0.0457936525344848,1628.5213641964065,2022-03-20 21:49:05,354.7916487077598,1983.3130129041665,-8.243478153452303,0.7789720296859741,354.7916487077598,0.21786121846969547,11.4625,,,
8,8,Sloan Data\RV Uma\2022_03_20\Blue\Reduced_RV_Uma_Light_Blue_32_secs_009.fits,Blue,316.92157628904323,510.77639961312406,7167.90940135715,0.0416167974472045,1668.4125159574114,2022-03-20 21:55:57,314.90049694675486,1983.3130129041665,-8.243478153452303,0.7891598660498857,314.90049694675486,0.18874258849949382,11.4625,,,
9,9,Sloan Data\RV Uma\2022_03_20\Blue\Reduced_RV_Uma_Light_Blue_32_secs_010.fits,Blue,316.78909270497434,510.135046073577,7298.318851931124,0.041019320487976,1655.671387799188,2022-03-20 21:58:18,327.6416251049784,1983.3130129041665,-8.243478153452303,0.7926464797928929,327.6416251049782,0.19789049174818316,11.4625,,,
10,10,Sloan Data\RV Uma\2022_03_20\Blue\Reduced_RV_Uma_Light_Blue_32_secs_011.fits,Blue,317.6042180416639,510.2294601251172,7426.992716458843,0.031314730644226,1664.3711018979757,2022-03-20 22:00:36,318.9419110061906,1983.3130129041665,-8.243478153452303,0.7960589099675417,318.9419110061906,0.1916290847891334,11.4625,,,
11,11,Sloan Data\RV Uma\2022_03_20\Blue\Reduced_RV_Uma_Light_Blue_32_secs_013.fits,Blue,325.6317744515133,513.7638273383774,8680.939039578343,0.0453198552131652,1763.6171507321942,2022-03-20 22:21:34,219.69586217197207,1983.3130129041665,-8.243478153452303,0.8271664287894964,219.69586217197207,0.12457117582507166,11.4625,,,
12,12,Sloan Data\RV Uma\2022_03_20\Blue\Reduced_RV_Uma_Light_Blue_32_secs_014.fits,Blue,325.56058401006976,514.1677085195715,8741.576748170075,0.0442348718643188,1734.4595900305303,2022-03-20 22:23:51,248.853422873636,1983.3130129041665,-8.243478153452303,0.8305541314184666,248.85342287363596,0.14347605692517496,11.4625,,,
13,13,Sloan Data\RV Uma\2022_03_20\Blue\Reduced_RV_Uma_Light_Blue_32_secs_015.fits,Blue,325.57496378169026,513.874004958246,8853.63909032062,0.0389395356178283,1715.2688940211983,2022-03-20 22:26:07,268.04411888296795,1983.3130129041665,-8.243478153452303,0.8339171065017581,268.04411888296795,0.15626944545970137,11.4625,,,
14,14,Sloan Data\RV Uma\2022_03_20\Blue\Reduced_RV_Uma_Light_Blue_32_secs_016.fits,Blue,325.55723459370734,513.6760039150349,8978.134243831595,0.0392724275588989,1736.1785774535629,2022-03-20 22:28:25,247.1344354506034,1983.3130129041665,-8.243478153452303,0.8373295366764069,247.1344354506034,0.1423439032481746,11.4625,,,
15,15,Sloan Data\RV Uma\2022_03_20\Blue\Reduced_RV_Uma_Light_Blue_32_secs_017.fits,Blue,326.99175747368827,505.3603131748612,9065.40062000258,0.0433019995689392,1735.042284034519,2022-03-20 22:30:48,248.2707288696472,1983.3130129041665,-8.243478153452303,0.8408656055107713,248.2707288696472,0.14309203363755474,11.4625,,,
